"key","citation","access","status","local_filename"
"Nguyen2013MFM","Nguyen, N. V., Gilard, V., and Bingol, O. (2013). Multidisciplinary Unmanned Combat Air Vehicle system design using Multi-Fidelity Model. \textit{Aerospace Science and Technology}. doi:10.1016/j.ast.2012.12.010.","paywalled_or_mixed","missing",""
"Raymer2018","Raymer, D. P. (2018). \textit{Aircraft Design: A Conceptual Approach} (6th ed.). AIAA.","book","missing",""
"Torenbeek1982","Torenbeek, E. (1982). \textit{Synthesis of Subsonic Airplane Design}. Delft University Press.","book","missing",""
"Sharpe2021AeroSandbox","Sharpe, P. D. (2021). \textit{AeroSandbox: A Differentiable Framework for Aircraft Design Optimization}. Master's thesis, Massachusetts Institute of Technology.","likely_public","missing",""
"Bowers2023PrandtlD","Bowers, A. H., et al. (2023). Wake-Structure of the Prandtl-D. AIAA SciTech.","paywalled_or_mixed","missing",""
"Lafifi2020","Lafifi, M. M. (2020). XFLR5 Analysis of foils and wings operating at low Reynolds numbers.","unknown","missing",""
"Drela1989XFOIL","Drela, M. (1989). XFOIL: An Analysis and Design System for Low Reynolds Number Airfoils. In \textit{Low Reynolds Number Aerodynamics} (Conference Proceedings).","paywalled_or_mixed","missing",""
"Sharpe2024Graph","Sharpe, P. D. (2024). \textit{Accelerating Practical Engineering Design Optimization with Computational Graph Transformations}. Ph.D. thesis, Massachusetts Institute of Technology.","likely_public","downloaded","Sharpe2024_PhD_Thesis.pdf"
"Sharpe2025NeuralFoil","Sharpe, P. D. (2025). NeuralFoil: A physics-informed machine learning model for airfoil aerodynamics. arXiv:2503.16323.","likely_public","downloaded","Sharpe2025_NeuralFoil_arXiv2503.16323.pdf"
"Zhang2025ANNGA","Zhang, Y., et al. (2025). Aerodynamic Design Optimization for Flying Wing Gliders Based on the Combination of Artificial Neural Networks and Genetic Algorithms. \textit{Aerospace}.","paywalled_or_mixed","missing",""
"Botero2025SUAVE","Botero, E., et al. (2025). Current Capabilities and Challenges of NDARC and SUAVE for eVTOL Aircraft Design and Analysis. Stanford University.","unknown","missing",""
